order_id,customer_id,category,region,units,unit_price,discount_pct,revenue,customer_age,order_date,status
ORD0001,C0022,Home,North,4,375.16,0,1500.64,26,2024-07-07,delivered
ORD0002,C0009,Home,South,2,372.49,15,633.23,68,2024-06-10,returned
ORD0003,C0033,Home,East,3,285.25,0,855.75,42,2024-12-03,delivered
ORD0004,C0008,Home,West,2,479.15,10,862.47,68,2024-10-03,delivered
ORD0005,C0028,Sports,East,4,174.71,5,663.9,53,2024-10-17,delivered
ORD0006,C0037,Books,North,4,55.19,5,209.72,34,2024-11-21,delivered
ORD0007,C0040,Electronics,South,3,463.02,0,1389.06,60,2024-09-09,returned
ORD0008,C0016,Home,North,5,580.43,0,2902.15,51,2024-12-12,returned
ORD0009,C0037,Home,East,3,190.86,10,515.32,22,2024-08-04,delivered
ORD0010,C0032,Home,South,5,786.53,0,3932.65,44,2024-01-23,delivered
ORD0001,C0022,Home,North,4,375.16,0,1500.64,26,2024-07-07,delivered
ORD0001,C0022,Home,North,4,375.16,0,1500.64,26,2024-07-07,delivered
ORD0001,C0022,Home,North,4,375.16,0,1500.64,26,2024-07-07,delivered
ORD0014,C0017,Electronics,West,4,366.54,0,1466.16,54,2024-11-12,returned
ORD0015,C0001,Beauty,East,2,653.54,5,1241.73,50,2024-04-28,returned
ORD0016,C0019,Electronics,East,3,93.87,10,253.45,68,2024-07-04,delivered
ORD0017,C0001,Books,North,5,740.74,0,3703.7,60,2024-09-28,returned
ORD0018,C0022,Sports,South,5,749.99,0,3749.95,18,2024-04-18,delivered
ORD0019,C0016,Beauty,North,5,731.66,0,3658.3,34,2024-09-22,delivered
ORD0020,C0040,Beauty,West,3,782.96,0,2348.88,29,2024-03-11,delivered
ORD0021,C0039,Beauty,West,1,370.81,0,370.81,-4,2024-09-03,returned
ORD0022,C0015,Home,West,1,469.39,0,469.39,143,2024-06-22,delivered
ORD0023,C0030,Sports,South,5,515.35,5,2447.91,30,2024-01-06,returned
ORD0024,C0038,Sports,South,2,282.61,10,508.7,56,2024-01-23,delivered
ORD0025,C0001,Home,North,5,736.95,15,3132.04,29,2024-04-24,delivered
ORD0026,C0008,Electronics,North,2,688.14,5,1307.47,27,2024-04-10,delivered
ORD0027,C0013,Electronics,East,1,739.74,0,739.74,57,2024-12-05,delivered
ORD0028,C0033,Beauty,South,3,375.47,0,1126.41,42,2024-11-13,delivered
ORD0029,C0017,Sports,West,4,224.01,15,761.63,70,2024-12-24,delivered
ORD0030,C0037,Electronics,North,1,429.26,0,429.26,47,2024-08-06,delivered
ORD0031,C0027,Books,North,1,148.77,5,0.0,51,2024-08-16,delivered
ORD0032,C0021,Electronics,East,2,96.77,0,193.54,64,2024-09-23,delivered
ORD0033,C0013,Sports,East,4,722.08,5,2743.9,33,2024-08-25,delivered
ORD0034,C0015,Sports,North,4,545.22,0,2180.88,19,2024-05-15,delivered
ORD0035,C0015,Beauty,South,3,86.91,0,260.73,60,2024-02-19,delivered
ORD0036,C0028,Books,North,2,433.45,0,866.9,22,2024-04-04,returned
ORD0037,C0032,Electronics,East,4,434.3,0,1737.2,22,2024-12-08,delivered
ORD0038,C0029,Books,North,1,754.1,0,754.1,20,2024-12-20,delivered
ORD0039,C0002,Sports,West,2,433.95,10,781.11,46,2024-01-24,returned
ORD0040,C0005,Sports,North,2,378.46,10,681.23,49,2024-05-08,delivered
ORD0041,C0006,Electronics,North,90,4999.0,0,449910.0,38,2024-11-04,delivered
ORD0042,C0019,Beauty,South,3,616.67,0,1850.01,20,2024-12-27,returned
ORD0043,C0030,Beauty,East,1,708.65,5,673.22,28,2024-10-11,returned
ORD0044,C0010,Home,North,3,394.38,10,1064.83,22,2024-03-15,delivered
ORD0045,C0019,Electronics,South,1,355.08,10,319.57,68,2024-09-13,delivered
ORD0046,C0012,Books,West,1,751.32,15,638.62,62,2024-10-04,delivered
ORD0047,C0030,Beauty,North,4,416.48,15,1416.03,51,2024-06-01,delivered
ORD0048,C0028,Electronics,West,2,219.9,5,417.81,28,2024-06-22,delivered
ORD0049,C0024,Books,West,3,639.71,0,1919.13,41,2024-09-10,delivered
ORD0050,C0009,Home,North,2,587.05,5,1115.39,43,2024-09-10,returned
ORD0051,C0028,Books,,1,682.23,0,682.23,21,2024-04-06,delivered
ORD0052,C0026,Beauty,,3,720.99,0,2162.97,46,2024-06-28,delivered
ORD0053,C0036,Sports,,3,701.26,0,2103.78,40,2024-03-07,delivered
ORD0054,C0024,Sports,,1,710.87,0,710.87,63,2024-10-03,delivered
ORD0055,C0032,Beauty,,1,184.63,10,166.17,69,2024-05-27,returned
ORD0056,C0035,Sports,,5,108.38,0,541.9,27,2024-10-14,delivered
ORD0057,C0035,Electronics,North,3,720.3,10,1944.81,67,2024-11-04,delivered
ORD0058,C0004,Books,West,4,119.09,5,452.54,37,2024-03-12,returned
ORD0059,C0003,Books,South,4,666.35,0,2665.4,57,2024-01-05,returned
ORD0060,C0033,Home,West,1,755.1,0,755.1,36,2024-09-25,delivered
ORD0061,C0039,Home,West,2,94.89,0,189.78,32,2024-05-04,delivered
ORD0062,C0034,Electronics,East,4,361.93,0,1447.72,58,2024-11-25,returned
ORD0063,C0008,Sports,East,2,185.53,5,352.51,35,2024-08-26,delivered
ORD0064,C0037,Books,East,2,309.06,0,618.12,21,2024-05-07,delivered
ORD0065,C0011,Sports,South,2,546.41,0,1092.82,39,2024-05-24,delivered
ORD0066,C0003,Electronics,East,3,664.1,10,1793.07,23,2024-05-14,delivered
ORD0067,C0008,Home,North,2,436.59,5,829.52,69,2024-08-06,returned
ORD0068,C0023,Sports,South,2,466.19,0,932.38,26,2024-11-28,returned
ORD0069,C0020,Sports,North,2,82.77,5,157.26,43,2024-08-10,delivered
ORD0070,C0014,Books,South,1,253.66,10,228.29,51,2024-08-15,delivered
ORD0071,C0029,Electronics,West,5,739.19,15,3141.56,70,2024-09-06,delivered
ORD0072,C0019,Sports,North,4,677.95,0,2711.8,54,2024-12-10,returned
ORD0073,C0033,Electronics,West,5,390.66,0,1953.3,49,2024-04-22,returned
ORD0074,C0006,Beauty,North,4,799.53,15,2718.4,31,2024-12-16,delivered
ORD0075,C0019,Home,South,1,183.98,15,156.38,37,2024-08-01,delivered
ORD0076,C0005,Sports,West,3,230.17,0,690.51,42,2024-03-08,delivered
ORD0077,C0029,Sports,East,1,542.71,0,542.71,40,2024-03-03,returned
ORD0078,C0015,Electronics,West,2,532.63,15,905.47,39,2024-01-21,delivered
ORD0079,C0031,Beauty,North,1,439.89,0,439.89,49,2024-07-15,delivered
ORD0080,C0015,Sports,North,5,89.35,0,446.75,63,2024-07-17,delivered
ORD0081,C0032,Books,North,3,775.32,0,2325.96,19,2024-06-08,delivered
ORD0082,C0025,Sports,East,2,556.05,0,1112.1,46,2024-08-27,delivered
ORD0083,C0021,Electronics,South,3,427.55,5,1218.52,49,2024-09-19,delivered
ORD0084,C0029,Sports,East,3,262.43,5,747.93,50,2024-07-12,delivered
ORD0085,C0036,Beauty,South,3,537.05,0,1611.15,34,2024-03-02,delivered
ORD0086,C0012,Home,South,4,410.9,5,1561.42,44,2024-12-16,delivered
ORD0087,C0034,Electronics,East,4,793.36,15,2697.42,43,2024-06-07,delivered
ORD0088,C0013,Beauty,North,4,173.59,0,694.36,44,2024-02-06,delivered
ORD0089,C0019,Beauty,East,1,757.06,0,757.06,39,2024-01-14,returned
ORD0090,C0023,Electronics,North,1,495.67,0,495.67,44,2024-02-15,delivered
ORD0091,C0004,Beauty,North,1,275.15,10,247.63,55,2024-04-11,delivered
ORD0092,C0010,Books,West,5,733.23,0,3666.15,21,2024-07-07,returned
ORD0093,C0024,Home,West,3,100.72,0,302.16,46,2024-08-03,delivered
ORD0094,C0040,Home,South,4,397.69,10,1431.68,65,2024-03-13,delivered
ORD0095,C0028,Sports,South,2,329.02,0,658.04,69,2024-09-12,delivered
ORD0096,C0004,Beauty,East,5,624.16,10,2808.72,52,2024-02-12,returned
ORD0097,C0008,Sports,North,2,738.91,0,1477.82,52,2024-10-28,returned
ORD0098,C0015,Books,East,3,446.82,10,1206.41,29,2024-10-19,delivered
ORD0099,C0026,Electronics,North,3,467.15,0,1401.45,29,2024-08-20,delivered
ORD0100,C0016,Beauty,South,1,602.42,0,602.42,18,2024-10-06,returned
ORD0101,C0014,Electronics,East,1,691.82,0,691.82,54,2024-03-08,delivered
ORD0102,C0034,Books,West,2,570.01,0,1140.02,27,2024-07-27,delivered
ORD0103,C0009,Sports,East,1,428.54,15,364.26,32,2024-01-14,returned
ORD0104,C0027,Books,South,2,103.52,10,186.34,30,2024-02-08,delivered
ORD0105,C0040,Home,North,4,784.47,15,2667.2,33,2024-07-11,returned
ORD0106,C0033,Books,West,2,640.32,10,1152.58,40,2024-02-23,returned
ORD0107,C0034,Books,South,2,108.63,0,217.26,60,2024-04-12,delivered
ORD0108,C0008,Home,North,3,409.62,15,1044.53,51,2024-06-14,returned
ORD0109,C0027,Home,East,3,578.63,0,1735.89,54,2024-04-02,delivered
ORD0110,C0013,Beauty,South,2,711.79,10,1281.22,35,2024-07-27,delivered
ORD0111,C0008,Books,South,1,205.58,5,195.3,26,2024-09-20,returned
ORD0112,C0022,Electronics,East,4,64.51,0,258.04,38,2024-04-22,delivered
ORD0113,C0023,Home,West,3,705.72,15,1799.59,42,2024-04-02,delivered
ORD0114,C0004,Sports,North,4,216.6,0,866.4,45,2024-07-27,delivered
ORD0115,C0008,Books,North,4,121.34,0,485.36,33,2024-09-23,delivered
ORD0116,C0028,Sports,East,4,307.54,5,1168.65,26,2024-08-27,delivered
ORD0117,C0010,Electronics,South,1,477.36,5,453.49,63,2024-10-19,delivered
ORD0118,C0040,Beauty,North,4,317.54,10,1143.14,34,2024-09-14,returned
ORD0119,C0022,Beauty,North,5,479.8,15,2039.15,36,2024-06-10,delivered
ORD0120,C0008,Beauty,East,3,393.79,5,1122.3,25,2024-06-15,delivered
