employee_id,department,age,salary,years_experience,performance_score,hire_date,remote
E0001,Engineering,30,84662.31,18.1,5,2020-12-11,true
E0002,Engineering,47,135617.72,24.9,5,2019-01-05,true
E0003,Engineering,22,41217.68,14.2,3,2017-05-26,false
E0004,Finance,58,120520.97,3.4,4,2020-07-26,true
E0005,Sales,22,106310.61,14.8,3,2016-06-15,false
E0001,Engineering,30,84662.31,18.1,5,2020-12-11,true
E0001,Engineering,30,84662.31,18.1,5,2020-12-11,true
E0008,Engineering,41,45448.33,5.1,5,2022-11-09,false
E0009,Engineering,37,110235.39,16.7,4,2017-05-02,false
E0010,Support,53,86934.48,23.8,3,2018-12-03,false
E0011,Marketing,32,116984.27,18.5,4,2016-12-02,true
E0012,Sales,33,97131.5,10.0,1,2020-02-07,false
E0013,Sales,37,103296.95,20.0,1,2022-03-25,true
E0014,Sales,52,57732.08,23.6,2,2018-07-22,true
E0015,Marketing,60,149645.31,9.8,3,2018-11-14,false
E0016,Engineering,23,123763.94,22.0,9,2024-09-18,false
E0017,Support,4,141261.43,23.8,1,2019-03-21,true
E0018,Finance,51,93861.56,13.4,5,2018-10-12,true
E0019,Finance,43,131858.32,5.2,2,2022-12-10,false
E0020,Sales,38,68510.99,10.2,4,2017-07-02,true
E0021,Finance,56,80864.43,11.0,5,2019-05-08,false
E0022,Finance,41,58981.13,2.4,4,2023-06-07,true
E0023,Marketing,54,134360.1,20.0,3,2022-02-23,true
E0024,Sales,59,49518.59,14.4,4,2021-05-06,true
E0025,Sales,53,148295.61,14.2,2,2016-11-17,false
E0026,Engineering,56,950000.0,5.1,2,2015-07-11,true
E0027,Finance,33,40404.16,2.9,2,2020-09-09,true
E0028,Support,46,108568.63,22.6,2,2021-10-18,false
E0029,Support,23,137294.11,18.6,4,2017-11-14,false
E0030,Support,41,74541.85,15.2,5,2018-12-14,false
E0031,Sales,23,66528.58,18.3,4,2019-06-25,true
E0032,Support,59,113372.99,11.4,4,2018-06-16,false
E0033,Engineering,28,110486.62,15.5,2,2016-10-28,false
E0034,Marketing,53,50670.87,20.9,5,2023-12-01,false
E0035,Support,40,75509.18,15.5,4,2020-10-17,false
E0036,Finance,58,85596.55,3.7,5,2020-02-25,true
E0037,Support,33,130917.59,9.7,4,2016-12-20,false
E0038,Engineering,43,146476.0,15.3,2,2021-05-15,true
E0039,Engineering,23,88053.02,19.9,4,2019-04-12,true
E0040,Sales,37,108490.77,8.4,4,2024-04-14,false
E0041,Finance,23,,15.7,2,2019-08-06,false
E0042,Marketing,44,,9.7,1,2022-12-13,false
E0043,Marketing,54,,23.7,2,2020-02-24,true
E0044,Sales,57,,16.2,5,2016-04-18,false
E0045,Marketing,25,58913.43,23.1,3,2022-09-05,true
E0046,Engineering,53,78898.56,24.0,4,2023-09-04,false
E0047,Finance,25,42289.51,23.7,1,2016-03-03,false
E0048,Sales,48,44900.45,22.4,3,2023-10-23,false
E0049,Marketing,45,49468.36,3.4,2,2024-04-01,true
E0050,Sales,44,142385.69,4.1,1,2018-07-05,true
E0051,Sales,45,92734.27,18.0,4,2015-02-05,false
E0052,Sales,55,50404.46,14.7,1,2019-01-27,true
E0053,Sales,42,86408.47,24.8,3,2016-05-23,true
E0054,Engineering,38,119436.23,17.4,5,2019-01-23,true
E0055,Support,46,137364.1,17.4,1,2015-02-27,true
E0056,Engineering,45,46993.85,7.3,2,2023-12-11,true
E0057,Finance,23,144843.19,8.1,1,2016-01-17,false
E0058,Engineering,58,125706.83,20.5,2,2024-04-03,true
E0059,Marketing,50,105303.67,17.1,1,2024-09-21,false
E0060,Sales,58,43399.59,7.8,2,2022-01-23,true
E0061,Support,41,146715.38,21.1,2,2020-12-13,true
E0062,Support,50,89997.06,5.0,2,2016-05-14,true
E0063,Marketing,29,133099.12,0.3,4,2021-03-14,true
E0064,Engineering,48,78974.66,18.8,4,2017-09-24,false
E0065,Engineering,22,142633.09,11.0,5,2017-10-08,true
E0066,Sales,57,83180.24,21.5,5,2019-04-17,false
E0067,Support,51,140638.8,18.4,4,2024-09-28,true
E0068,Engineering,51,147158.33,13.7,1,2018-01-13,false
E0069,Engineering,26,117628.22,16.9,1,2018-10-24,false
E0070,Finance,31,147319.19,2.2,4,2016-05-23,false
E0071,Finance,50,60210.85,15.3,3,2021-04-16,false
E0072,Engineering,57,88104.3,9.2,5,2021-02-04,false
E0073,Finance,48,73565.25,1.5,3,2015-02-01,true
E0074,Sales,60,76974.92,5.7,2,2022-12-16,true
E0075,Sales,47,101615.53,16.1,2,2016-02-20,true
E0076,Finance,22,50285.09,15.4,2,2021-09-14,true
E0077,Marketing,30,118734.34,5.4,2,2016-11-25,false
E0078,Marketing,25,135230.97,2.8,1,2016-09-21,false
E0079,Engineering,34,63611.89,9.6,1,2019-11-13,true
E0080,Sales,31,118381.02,15.7,1,2016-12-11,false
E0081,Engineering,27,91730.68,18.1,4,2022-05-15,false
E0082,Support,26,148179.44,3.3,3,2017-06-02,true
E0083,Sales,38,56173.91,0.4,1,2024-09-21,false
E0084,Marketing,46,148677.39,22.8,4,2015-09-03,false
E0085,Marketing,38,96867.6,19.1,5,2024-10-06,false
E0086,Marketing,40,144444.31,3.8,3,2021-05-10,true
E0087,Marketing,43,79426.24,8.5,2,2016-04-27,true
E0088,Marketing,31,141554.72,2.4,1,2021-02-28,false
E0089,Support,48,47498.85,9.3,2,2016-02-03,true
E0090,Support,33,62422.68,6.4,1,2016-11-13,true
E0091,Finance,25,47380.27,16.2,5,2022-08-19,false
E0092,Finance,34,44947.59,10.1,2,2015-07-05,false
E0093,Finance,60,122119.26,19.2,1,2023-02-09,true
E0094,Finance,51,90035.92,23.8,3,2021-02-17,false
E0095,Finance,29,65779.53,2.7,3,2020-08-03,true
E0096,Engineering,22,61428.26,16.7,2,2016-06-16,true
E0097,Marketing,26,74052.83,21.0,1,2017-08-02,false
E0098,Support,57,45355.28,10.0,5,2019-07-15,true
E0099,Finance,22,120699.74,2.3,1,2017-11-16,false
E0100,Sales,45,44351.71,13.1,5,2021-09-01,false
